fips,place,2010 CENSUS,2000 CENSUS,1990 CENSUS,1980 CENSUS,1970 CENSUS,1960 CENSUS,1950 CENSUS,1940 CENSUS,1930 CENSUS,1920 CENSUS,1910 CENSUS,1900 CENSUS,1890 CENSUS
43975,LIVINGSTON,7044,6851,6701,6994,6883,8229,7683,6642,6391,6311,5259,2778,2850
44275,LODGE GRASS,428,510,517,499,806,687,536,839,373,,,,
47425,MALTA,1997,2120,2340,2367,2195,2239,2095,2215,1342,1427,433,,
47575,MANHATTAN,1520,1396,1034,988,816,889,716,646,501,591,,,
48775,MEDICINE LAKE,225,269,357,408,393,452,454,396,384,292,,,
49000,MELSTONE,96,136,166,238,227,266,195,203,215,477,,,
49525,MILES CITY,8410,8487,8461,9602,9023,9665,9243,7313,7175,7937,4697,1938,956
50200,MISSOULA,66788,57053,42918,33351,29497,27090,22485,18449,14657,12668,12869,4366,3426
51550,MOORE,193,186,211,229,219,216,224,241,288,355,575,,
52900,NASHUA,290,325,375,495,513,796,691,943,351,272,,,
53200,NEIHART,51,91,53,91,109,150,289,466,169,749,268,833,
55525,OPHEIM,85,111,145,210,306,457,383,344,424,,,,
56050,OUTLOOK,47,82,109,122,153,226,235,208,302,295,,,
57175,PHILIPSBURG,820,914,925,1138,1128,1107,1048,1304,1300,1724,1109,995,1058
57700,PINESDALE,917,742,670,,,,,,,,,,
58150,PLAINS,1048,1126,992,1116,1046,769,714,624,522,452,481,,
58375,PLENTYWOOD,1734,2061,2136,2476,2381,2121,1862,1574,1226,888,,,
58450,PLEVNA,162,138,140,191,189,263,247,291,258,241,,,
58750,POLSON,4488,4041,3291,2798,2464,2314,2280,2156,1455,1132,,,
58975,POPLAR,810,911,881,995,1389,1565,1169,1442,1046,1152,,,
61525,RED LODGE,2125,2177,1958,1896,1844,2278,2730,2950,3026,4515,4860,2152,624
62200,REXFORD,105,151,132,130,243,,,,,,,,
62275,RICHEY,177,189,259,417,389,480,595,,362,,,,
64150,RONAN,1871,1812,1547,1530,1347,1334,1251,1032,537,600,,,
64525,ROUNDUP,1788,1931,1808,2119,2116,2842,2856,2644,2577,2434,1513,,
64975,RYEGATE,245,268,260,273,261,314,339,348,292,405,,,
65050,SACO,197,224,261,252,356,490,539,452,506,425,,,
65275,SAINT IGNATIUS,842,788,778,877,925,940,781,768,,,,,
66925,SCOBEY,1017,1082,1154,1382,1486,1726,1628,1311,1259,1170,,,
67450,SHELBY,3376,3216,2763,3142,3111,4017,3058,2538,2004,537,,,
67600,SHERIDAN,642,659,652,646,636,539,572,597,521,538,399,581,207
67900,SIDNEY,5191,4774,5217,5726,4543,4564,3987,2978,2010,1400,345,,
70675,STANFORD,401,454,529,595,505,615,542,529,509,300,,,
71200,STEVENSVILLE,1809,1553,1221,1207,829,784,772,703,692,744,796,346,
72175,SUNBURST,375,415,437,476,604,882,845,709,486,,,,
72625,SUPERIOR,812,893,881,1054,993,1242,626,,,,,,
73675,TERRY,605,611,659,929,870,1140,1191,1012,779,794,,,
73825,THOMPSON FALLS,1313,1321,1319,1478,1356,1274,851,736,468,508,325,,
73975,THREE FORKS,1869,1728,1203,1247,1188,1161,1114,876,884,1071,674,,
74575,TOWNSEND,1878,1867,1625,1687,1371,1528,1316,1309,735,897,759,446,245
75025,TROY,938,957,953,1088,1046,855,770,796,498,763,,,
75475,TWIN BRIDGES,375,400,374,437,613,509,497,534,671,755,491,,
76225,VALIER,509,498,519,640,651,724,710,641,575,613,,,
77125,VIRGINIA CITY,190,130,142,192,149,194,323,380,242,342,467,568,675
77650,WALKERVILLE,675,714,605,887,1097,1463,1631,1880,2085,2391,2491,2621,1743
79525,WEST YELLOWSTONE,1271,1177,913,735,756,,,,,,,,
78925,WESTBY,168,172,253,291,287,309,396,369,287,253,,,
80050,WHITE SULPHUR SPRINGS,939,984,963,1302,1200,1519,1025,858,575,574,417,446,640
79825,WHITEFISH,6357,5032,4368,3703,3349,2965,3268,2602,2803,2867,1479,,
79900,WHIITEHALL,1038,1044,1067,1030,1035,898,929,818,553,629,417,,
80350,WIBAUX,589,567,628,782,644,766,739,625,619,611,487,,
81025,WINIFRED,208,156,150,155,190,220,217,300,251,262,,,
81100,WINNETT,182,185,188,207,271,360,407,399,408,316,,,
81475,WOLF POINT,2621,2663,2880,3074,3095,3585,2557,1960,1539,2098,,,
